Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
1455 058 082 009 036 050 
7765 023 098 023 060 012 
7583 044 087 023 046 062 
2036 001 074 076 029 076 
3823 069 035 059 046 082 
4750 068 062 082 079 100 
7409 075 026 089 100 072 
6005 060 044 087 059 090 
6059 086 016 044 022 019 
8239 035 036 040 033 031 
2175 003 098 030 002 003 
2695 089 008 012 056 026 
8156 049 081 096 088 009 
2556 011 021 081 065 052 
2456 062 015 015 035 054 
2287 098 075 020 082 044 
6119 060 053 081 018 078 
6221 084 084 002 063 076 
6894 007 046 018 011 088 
9268 017 025 087 059 031 
1161 099 089 086 061 080 
5690 042 044 082 055 061 
0227 003 034 060 061 066 
4017 038 092 053 020 047 
7052 041 058 015 041 023 
